,fecha,latitud,longitud,url,titulo,tipo_propiedad,precio,moneda,m2,ambientes
577,2020_04_25,-34.6151428,-58.3775,https://departamento.mercadolibre.com.ar/MLA-850483812-san-telmo-2-ambientes-en-alquiler-temporario-_JM,San Telmo. 2 Ambientes En Alquiler Temporario.,Departamento,24700.0,ARS,27,2
578,2020_04_25,-34.6171804,-58.3830308,https://departamento.mercadolibre.com.ar/MLA-850484661-san-telmo-departamento-2-ambientes-con-patios-alquiler-temporario-_JM,"San Telmo, Departamento 2 Ambientes Con Patios,  Alquiler Temporario.",Departamento,24000.0,ARS,60,2
580,2020_04_25,-34.5579915,-58.4750476,https://departamento.mercadolibre.com.ar/MLA-850489569-impecable-ph-sin-expensas-abl-y-aysa-incluidos-28000-_JM,"Impecable Ph Sin Expensas, Abl Y Aysa Incluidos $28,000",Departamento,28000.0,ARS,39,2
581,2020_04_25,-34.5598005,-58.4600901,https://departamento.mercadolibre.com.ar/MLA-850492254-ciudad-de-la-paz-al-2500-entre-av-monroe-y-blanco-encalada-_JM,"Ciudad De La Paz Al 2500, Entre Av. Monroe Y Blanco Encalada",Departamento,35000.0,ARS,45,2
585,2020_04_25,-34.6185339,-58.3779908,https://departamento.mercadolibre.com.ar/MLA-850503137-san-telmo-departamento-2-ambientes-alquiler-temporario-_JM,"San Telmo, Departamento 2 Ambientes, Alquiler Temporario.",Departamento,25300.0,ARS,40,2
586,2020_04_25,-34.6210298,-58.3683792,https://departamento.mercadolibre.com.ar/MLA-850503953-san-telmo-departamento-2-ambientes-con-amenities-y-balcon-alquiler-temporario-_JM,"San Telmo, Departamento 2 Ambientes Con Amenities Y Balcón, Alquiler Temporario.",Departamento,32000.0,ARS,60,2
587,2020_04_25,-34.6003025,-58.39714,https://departamento.mercadolibre.com.ar/MLA-850505146-barrio-norte-departamento-2-ambientes-con-balcon-terraza-alquiler-temporario-_JM,"Barrio Norte, Departamento 2 Ambientes Con Balcón Terraza, Alquiler Temporario.",Departamento,35000.0,ARS,60,2
588,2020_04_25,-34.6200535,-58.3729109,https://departamento.mercadolibre.com.ar/MLA-850505732-san-telmo-departamento-2-ambientes-con-balcon-alquiler-temporario-_JM,"San Telmo, Departamento 2 Ambientes Con Balcón, Alquiler Temporario.",Departamento,25000.0,ARS,70,2
589,2020_04_25,-34.6178501,-58.3708237,https://departamento.mercadolibre.com.ar/MLA-850505881-san-telmo-departamento-duplex-2-ambientes-con-balcon-alquiler-temporario-_JM,"San Telmo, Departamento Duplex 2 Ambientes Con Balcón, Alquiler Temporario.",Departamento,25500.0,ARS,38,2
596,2020_04_25,-34.5987764,-58.4115784,https://departamento.mercadolibre.com.ar/MLA-850545759-departamentos-alquiler-almagro-_JM,Departamentos Alquiler Almagro,Departamento,25000.0,ARS,45,2
