,fecha,latitud,longitud,url,titulo,tipo_propiedad,precio,moneda,m2,ambientes
823,2020_04_25,-34.5994853,-58.3645525,https://departamento.mercadolibre.com.ar/MLA-851465415-3-ambientes-olga-cossettini-al-100-_JM,3 Ambientes | Olga Cossettini Al 100,Departamento,4115.0,USD,154,3
825,2020_04_25,-34.5994853,-58.3645525,https://departamento.mercadolibre.com.ar/MLA-851465420-3-ambientes-olga-cossettini-al-100-_JM,3 Ambientes | Olga Cossettini Al 100,Departamento,4115.0,USD,139,3
827,2020_04_25,-34.5994853,-58.3645525,https://departamento.mercadolibre.com.ar/MLA-851465432-3-ambientes-olga-cossettini-al-100-_JM,3 Ambientes | Olga Cossettini Al 100,Departamento,3820.0,USD,154,3
828,2020_04_25,-34.5775299,-58.4142962,https://departamento.mercadolibre.com.ar/MLA-851465448-3-ambientes-con-gran-balcon-en-inmejorable-ubicacion-_JM,3 Ambientes Con Gran Balcon En Inmejorable Ubicacion,Departamento,1100.0,USD,90,3
829,2020_04_25,-34.5912366,-58.4097165,https://departamento.mercadolibre.com.ar/MLA-851465451-3-ambientes-guemes-al-3100-_JM,3 Ambientes | Guemes Al 3100,Departamento,42000.0,ARS,60,3
831,2020_04_25,-34.5989901,-58.3715441,https://departamento.mercadolibre.com.ar/MLA-851465462-3-ambientes-25-de-mayo-al-700-_JM,3 Ambientes | 25 De Mayo Al 700,Departamento,32000.0,ARS,65,3
834,2020_04_25,-34.595508,-58.386825,https://departamento.mercadolibre.com.ar/MLA-851465529-3-ambientes-av-santa-fe-al-1300-_JM,3 Ambientes | Av. Santa Fe Al 1300,Departamento,1500.0,USD,110,3
837,2020_04_25,-34.587337,-58.3953081,https://departamento.mercadolibre.com.ar/MLA-851465795-3-ambientes-vicente-lopez-al-2200-_JM,3 Ambientes | Vicente Lopez Al 2200,Departamento,1590.0,USD,60,3
845,2020_04_25,-34.5994853,-58.3645525,https://departamento.mercadolibre.com.ar/MLA-851465905-3-ambientes-olga-cossettini-al-100-_JM,3 Ambientes | Olga Cossettini Al 100,Departamento,4115.0,USD,154,3
846,2020_04_25,-34.6131533,-58.3624565,https://departamento.mercadolibre.com.ar/MLA-851465913-3-ambientes-juana-manso-al-1300-_JM,3 Ambientes | Juana Manso Al 1300,Departamento,1800.0,USD,94,3
848,2020_04_25,-34.5938063,-58.4056753,https://departamento.mercadolibre.com.ar/MLA-851465940-3-ambientes-anchorena-al-1300-_JM,3 Ambientes | Anchorena Al 1300,Departamento,2000.0,USD,85,3
849,2020_04_25,-34.576108,-58.423779,https://departamento.mercadolibre.com.ar/MLA-851465952-3-ambientes-juncal-al-4600-_JM,3 Ambientes | Juncal Al 4600,Departamento,40000.0,ARS,70,3
854,2020_04_25,-34.6113931,-58.373397,https://departamento.mercadolibre.com.ar/MLA-851465979-3-ambientes-moreno-al-500-_JM,3 Ambientes | Moreno Al 500,Departamento,2000.0,USD,119,3
